problem,mean time (s)
"Lasso(Δ = 1.0, Δ̂ = 1.0, λ = 1.0, α = 0.5)_50",0.012648498773574829
"Lasso(Δ = 1.0, Δ̂ = 1.0, λ = 1.0, α = 0.5)_75",0.01842258071899414
"Lasso(Δ = 1.0, Δ̂ = 1.0, λ = 1.0, α = 0.5)_100",0.025210492849349977
"Lasso(Δ = 1.0, Δ̂ = 1.0, λ = 1.0, α = 0.5)_125",0.030521459579467773
"Lasso(Δ = 1.0, Δ̂ = 1.0, λ = 1.0, α = 0.5)_130",0.028818268775939942
"Lasso(Δ = 1.0, Δ̂ = 1.0, λ = 1.0, α = 0.5)_131",0.02385929298400879
"Lasso(Δ = 1.0, Δ̂ = 1.0, λ = 1.0, α = 0.5)_133",0.027866806745529174
"Lasso(Δ = 1.0, Δ̂ = 1.0, λ = 1.0, α = 0.5)_134",0.031993857622146606
"Lasso(Δ = 1.0, Δ̂ = 1.0, λ = 1.0, α = 0.5)_134",0.0329144036769867
"Lasso(Δ = 1.0, Δ̂ = 1.0, λ = 1.0, α = 0.5)_150",7.172883415222168
"Lasso(Δ = 1.0, Δ̂ = 1.0, λ = 1.0, α = 0.5)_200",9.631780195236207
"Lasso(Δ = 1.0, Δ̂ = 1.0, λ = 1.0, α = 0.5)_250",10.645833611488342
"Lasso(Δ = 1.0, Δ̂ = 1.0, λ = 1.0, α = 0.5)_150",9.199880385398865
"Lasso(Δ = 1.0, Δ̂ = 1.0, λ = 1.0, α = 0.5)_150",26.61549777030945
"Lasso(Δ = 1.0, Δ̂ = 1.0, λ = 1.0, α = 0.5)_200",27.045928947925567
"Lasso(Δ = 1.0, Δ̂ = 1.0, λ = 1.0, α = 0.5)_250",28.2514125084877
